How and what university students learn through online and face-to-face discussion: conceptions,  intentions and approaches
Getting the right design and the design right, We present a study comparing usability testing of a single interface versus three functionally equivalent but stylistically distinct designs. We found that when presented with a single design
Social Software and Cyber Networks: Ties That Bind or Weak Associations within the Political Organization?, The 2004 U.S. Presidential election has tapped into the online medium to reach the growing demographic of online citizens. In the Democratic Party's primary season
A New Method for Solving Hard Satisfiability Problems, We introduce a greedy local search procedure called GSAT for solving propositional satisfiability problems. Our experiments show that this procedure can be used to solve hard
Component rank: relative significance rank for software component search, Collections of already developed programs are important resources for efficient development of reliable software systems. In this paper
Hierarchical hidden Markov model with application to joint analysis of ChIP-chip and ChIP-seq data, Motivation: Chromatin immunoprecipitation (ChIP) experiments followed by array hybridization
Modularized learning of genetic interaction networks from biological annotations and mRNA expression data, Motivation: Inferring the genetic interaction mechanism using Bayesian networks has recently drawn increasing attention due to its well-established theoretical foundation and statistical robustness. However
A modular network model of aging, Many fundamental questions on aging are still unanswered or are under intense debate. These questions are frequently not addressable by examining a single gene or a single pathway
An integrative approach for causal gene identification and gene regulatory pathway inference., MOTIVATION: Gene expression variation can often be linked to certain chromosomal regions and are tightly associated with phenotypic variation such as disease conditions. Inferring the causal genes for the expression variation is of great importance but rather challenging as the linked region generally contains multiple genes. Even when a single candidate gene is proposed
KEGGgraph: a graph approach to KEGG PATHWAY in R and bioconductor., MOTIVATION: KEGG PATHWAY is a service of Kyoto Encyclopedia of Genes and Genomes (KEGG)
Versatile low power media access for wireless sensor networks, We propose &#60;i>B-MAC&#60;/i>
The Production of Space, {Henri Lefebvre has considerable claims to be the greatest living philosopher. His work spans some sixty years and includes original work on a diverse range of subjects
The automatic creation of literature abstracts, Excerpts of technical papers and magazine articles that serve the purposes of conventional abstracts have been created entirely by automatic means. In the exploratory research described
Rapamycin fed late in life extends lifespan in genetically heterogeneous mice, Inhibition of the TOR signalling pathway by genetic or pharmacological intervention extends lifespan in invertebrates
Selectionism and Neutralism in Molecular Evolution, Charles Darwin proposed that evolution occurs primarily by natural selection
Disentangling the Web of Life, Biodiversity research typically focuses on species richness and has often neglected interactions
Cross-validation and bootstrapping are unreliable in small sample classification, The interest in statistical classification for critical applications such as diagnoses of patient samples based on supervised learning is rapidly growing. To gain acceptance in applications where the subsequent decisions have serious consequences
Molecular Phylogeny and Divergence Times of Deuterostome Animals, The phylogenetic relationships among deuterostome animals have been debated for many years
Protocols and Architectures for Wireless Sensor Networks, {<b>Wireless sensor networks will revolutionise applications such as environmental monitoring
Internet encyclopaedias go head to head, However
Computational identification of Drosophila microRNA genes, BACKGROUND: MicroRNAs (miRNAs) are a large family of 21-22 nucleotide non-coding RNAs with presumed post-transcriptional regulatory activity. Most miRNAs were identified by direct cloning of small RNAs
Oscillatory responses in cat visual cortex exhibit inter-columnar synchronization which reflects global stimulus properties, A fundamental step in visual pattern recognition is the establishment of relations between spatially separate features. Recently
Training conditional random fields via gradient tree boosting, Conditional Random Fields (CRFs; Lafferty
A generic protein purification method for protein complex characterization and proteome exploration., We have developed a generic procedure to purify proteins expressed at their natural level under native conditions using a novel tandem affinity purification (TAP) tag. The TAP tag allows the rapid purification of complexes from a relatively small number of cells without prior knowledge of the complex composition
Functional Coactivation Map of the Human Brain, Understanding the interactions among different brain regions is fundamental to our understanding of brain function. Here we describe a complete map of functional connections in the human brain derived by an automatic meta-analysis of 825 neuroimaging articles
Distinct populations of primary and secondary effectors during RNAi in C. elegans.,  RNA interference (RNAi) is a phylogenetically widespread gene silencing process triggered by double-stranded RNA (dsRNA). In plants and C. elegans
An ontology for cell types, We describe an ontology for cell types that covers the prokaryotic
On the criteria to be used in decomposing systems into modules, This paper discusses modularization as a mechanism for improving the flexibility and comprehensibility of a system while allowing the shortening of its development time. The effectiveness of a {脙}*{脗}*{脗}*modularization{脙}*{脗}*{脗}* is dependent upon the criteria used in dividing the system into modules. A system design problem is presented and both a conventional and unconventional decomposition are described. It is shown that the unconventional decompositions have distinct advantages for the goals outlined. The criteria used in arriving at the decompositions are discussed. The unconventional decomposition
Problem Solving as a Basis for Reform in Curriculum and Instruction: The Case of Mathematics, 10.3102/0013189X025004012 We argue that reform in curriculum and instruction should be based on allowing students to problematize the subject. Rather than mastering skills and applying them
Gene Expression During the Life Cycle of Drosophila melanogaster, Molecular genetic studies of Drosophila melanogaster have led to profound advances in understanding the regulation of development. Here we report gene expression patterns for nearly one-third of all Drosophila genes during a complete time course of development. Mutations that eliminate eye or germline tissue were used to further analyze tissue-specific gene expression programs. These studies define major characteristics of the transcriptional programs that underlie the life cycle
How users assess Web pages for information seeking, In this article
Tracking Neuronal Fiber Pathways in the Living Human Brain, Functional imaging with positron emission tomography and functional MRI has revolutionized studies of the human brain. Understanding the organization of brain systems
Analysis of genomic context: prediction of functional associations from conserved bidirectionally transcribed gene pairs., Several widely used methods for predicting functional associations between proteins are based on the systematic analysis of genomic context. Efforts are ongoing to improve these methods and to search for novel aspects in genomes that could be exploited for function prediction. Here
How Maps Work: Representation,  Visualization
PolyScan: An automatic indel and SNP detection approach to the analysis of human resequencing data, 10.1101/gr.6151507 Small insertions and deletions (indels) and single nucleotide polymorphisms (SNPs) are common genetic variants that are thought to be associated with a wide variety of human diseases. Owing to the genome鈥檚 size and complexity
Biclustering of Expression Data, An efficient node-deletion algorithm is introduced to find submatrices in expression data that have low mean squared residue scores and it is shown to perform well in finding co-regulation patterns in yeast and human. This introduces ""biclustering
Global patterns of environmental synchrony and the Moran effect, There is considerable debate over the relative importance of dispersal and environmental disturbances (the Moran effect) as causes of spatial synchrony in fluctuations of animal populations. If environmental factors generally exhibit high levels of spatial autocorrelation
An Introduction to the Psychology of Hearing, {Now available in a Fifth Edition
MACiE: a database of enzyme reaction mechanisms., Summary: MACiE (mechanism
Mapping of transcription factor binding regions in mammalian cells by ChIP: Comparison of array- and sequencing-based technologies, Recent progress in mapping transcription factor (TF) binding regions can largely be credited to chromatin immunoprecipitation (ChIP) technologies. We compared strategies for mapping TF binding regions in mammalian cells using two different ChIP schemes: ChIP with DNA microarray analysis (ChIP-chip) and ChIP with DNA sequencing (ChIP-PET). We first investigated parameters central to obtaining robust ChIP-chip data sets by analyzing STAT1 targets in the ENCODE regions of the human genome
Phylogenetic Identification and In Situ Detection of Individual Microbial Cells without Cultivation, The frequent discrepancy between direct microscopic counts and numbers of culturable bacteria from environmental samples is just one of several indications that we currently know only a minor part of the diversity of microorganisms in nature. {A} combination of direct retrieval of r{RNA} sequences and whole-cell oligonucleotide probing can be used to detect specific r{RNA} sequences of uncultured bacteria in natural samples and to microscopically identify individual cells. {S}tudies have been performed with microbial assemblages of various complexities ranging from simple two-component bacterial endosymbiotic associations to multispecies enrichments containing magnetotactic bacteria to highly complex marine and soil communities. {P}hylogenetic analysis of the retrieved r{RNA} sequence of an uncultured microorganism reveals its closest culturable relatives and may
Microfluidic devices for measuring gene network dynamics in single cells,  The dynamics governing gene regulation have an important role in determining the phenotype of a cell or organism. From processing extracellular signals to generating internal rhythms
Developing Online Games: An Insider's Guide, {<P>A soup-to-nuts overview of just what it takes to successfully design
Alloy: a lightweight object modelling notation, Alloy is a little language for describing structural properties. It offers a declaration syntax compatible with graphical object models
Mapping translocation breakpoints by next-generation sequencing, 10.1101/gr.076166.108 Balanced chromosome rearrangements (BCRs) can cause genetic diseases by disrupting or inactivating specific genes
Natural Language Processing in aid of FlyBase curators, BACKGROUND:Despite increasing interest in applying Natural Language Processing (NLP) to biomedical text
Manipulation of Voting Schemes: A General Result, It has been conjectured that no system of voting can preclude strategic voting--the securing by a voter of an outcome he prefers through misrepresentation of his preferences. In this paper
Improvement of comparative model accuracy by free-energy optimization along principal components of natural structural variation., Accurate high-resolution refinement of protein structure models is a formidable challenge because of the delicate balance of forces in the native state
Difference and Union of Models, This paper discusses the difference and union of models in the context of a version control system. We show three metamodel-independent algorithms that calculate the difference between two models
Winners don鈥檛 punish, A key aspect of human behaviour is cooperation1
Negotiation and cooperation in multi-agent environments, Automated intelligent agents inhabiting a shared environment must coordinate their activities. Cooperation -- not merely coordination -- may improve the performance of the individual agents or the overall behavior of the system they form. Research in Distributed Artificial Intelligence (DAI) addresses the problem of designing automated intelligent systems which interact effectively. DAI is not the only field to take on the challenge of understanding cooperation and coordination. There are a variety of other multi-entity environments in which the entities coordinate their activity and cooperate. Among them are groups of people
Detection of parallel functional modules by comparative analysis of genome sequences, Parallel functional modules are separate sets of proteins in an organism that catalyze the same or similar biochemical reactions but act on different substrates or use different cofactors. They originate by gene duplication during evolution. Parallel functional modules provide versatility and complexity to organisms
Using GOstats to test gene lists for GO term association, Motivation: Functional analyses based on the association of Gene Ontology (GO) terms to genes in a selected gene list are useful bioinformatic tools and the GOstats package has been widely used to perform such computations. In this paper we report significant improvements and extensions such as support for conditional testing.  Results: We discuss the capabilities of GOstats
Integrated transcriptional profiling and linkage analysis for identification of genes underlying disease, Integration of genome-wide expression profiling with linkage analysis is a new approach to identifying genes underlying complex traits. We applied this approach to the regulation of gene expression in the BXH/HXB panel of rat recombinant inbred strains
Computational identification of noncoding RNAs in E. coli by comparative genomics., {aHoward} Hughes Medical Institute and Department of Genetics
Probabilistic Models for Unified Collaborative and Content-Based Recommendation in Sparse-Data Environments, Recommender systems leverage product and community information to target products to consumers. Researchers have developed collaborative recommenders
The Modular Organization of Protein Interactions in Escherichia coli, Escherichia coli serves as an excellent model for the study of fundamental cellular processes such as metabolism
Gamma oscillation by synaptic inhibition in a hippocampal interneuronal network model., Fast neuronal oscillations (gamma
National Center for Biomedical Ontology: Advancing Biomedicine through Structured Organization of Scientific Knowledge, The National Center for Biomedical Ontology is a consortium that comprises leading informaticians
A Survey of Clustering Data Mining Techniques, Clustering is the division of data into groups of similar objects. In clustering
A fast hybrid short read fragment assembly algorithm, Summary: The shorter and vastly more numerous reads produced by second-generation sequencing technologies require new tools that can assemble massive numbers of reads in reasonable time. Existing short-read assembly tools can be classified into two categories: greedy extension-based and graph-based. While the graph-based approaches are generally superior in terms of assembly quality
Active learning using pre-clustering, The paper is concerned with two-class active learning. While the common approach for collecting data in active learning is to select samples close to the classification boundary
GeneWays: a system for extracting,  analyzing
Automatic Document Metadata Extraction Using Support Vector Machines, Automatic metadata generation provides scalability and usability for digital libraries and their collections. Machine learning methods offer robust and adaptable automatic metadata extraction. We describe a support vector machine classification-based method for metadata extraction from header part of research papers and show that it outperforms other machine learning methods on the same task. The method first classifies each line of the header into one or more of 15 classes. An iterative convergence procedure is then used to improve the line classification by using the predicted class labels of its neighbor lines in the previous round. Further metadata extraction is done by seeking the best chunk boundaries of each line. We found that discovery and use of the structural patterns of the data and domain based word clustering can improve the metadata extraction performance. An appropriate feature normalization also greatly improves the classification performance. Our metadata extraction method was originally designed to improve the metadata extraction quality of the digital libraries Citeseer [S. Lawrence et al.
Modeling the evolution of protein domain architectures using maximum parsimony., Domains are basic evolutionary units of proteins and most proteins have more than one domain. Advances in domain modeling and collection are making it possible to annotate a large fraction of known protein sequences by a linear ordering of their domains
Optimal Network Topologies for Local Search with Congestion, The problem of  searchability  in decentralized complex networks is of great importance in computer science; economy; and sociology. We present a formalism that is able to cope simultaneously with the problem of search and the congestion effects that arise when parallel searches are performed; and we obtain expressions for the average  search cost  both in the presence and the absence of congestion. This formalism is used to obtain optimal network structures for a system using a local search algorithm. It is found that only two classes of networks can be optimal: starlike configurations; when the number of parallel searches is small; and homogeneous-isotropic configurations; when it is large."
VMD: visual molecular dynamics, VMD is a molecular graphics program designed for the display and analysis of molecular assemblies
Extensive Gene Traffic on the Mammalian X Chromosome, Mammalian sex chromosomes have undergone profound changes since evolving from ancestral autosomes. By examining retroposed genes in the human and mouse genomes
Long non-coding RNAs: insights into functions,  In mammals and other eukaryotes most of the genome is transcribed in a developmentally regulated manner to produce large numbers of long non-coding RNAs (ncRNAs). Here we review the rapidly advancing field of long ncRNAs
Computational approaches to motor control,  This review will focus on four areas of motor control which have recently been enriched both by neural network and control system models: motor planning
A simple physical model for scaling in protein-protein interaction networks., It has recently been demonstrated that many biological networks exhibit a {\tt{}""{}}scale-free{\tt{}""{}} topology
Cosmology of the Lifshitz universe, We study the ultraviolet complete non-relativistic theory recently proposed by Horava. After introducing a Lifshitz scalar for a general background
Electronic mail in a working context, Electronic mail
Applying a Model Transformation Taxonomy to Graph Transformation Technology, A taxonomy of model transformations was introduced in [T. Mens
Service-Oriented Computing: Key Concepts and Principles, Traditional approaches to software development - the ones embodied in CASE tools and modeling frameworks - are appropriate for building individual software components
Automatic personalization based on Web usage mining, this paper we describe an approach to usage-based Web personalization taking into account the full spectrum of Web mining techniques and activities. Our approach is described by the architecture shown in Figure 1
Sleep inspires insight., Insight denotes a mental restructuring that leads to a sudden gain of explicit knowledge allowing qualitatively changed behaviour. Anecdotal reports on scientific discovery suggest that pivotal insights can be gained through sleep. Sleep consolidates recent memories and
A Categorical Manifesto, : This paper tries to explain why and how category theory is useful in computing science
Viruses in the faecal microbiota of monozygotic twins and their mothers, Viral diversity and life cycles are poorly understood in the human gut and other body habitats. Phages and their encoded functions may provide informative signatures of a human microbiota and of microbial community responses to various disturbances
The fitness value of information, Biologists measure information in different ways. Neurobiologists and researchers in bioinformatics often measure information using information-theoretic measures such as Shannon's entropy or mutual information. Behavioral biologists and evolutionary ecologists more commonly use decision-theoretic measures
Why Most Published Research Findings Are False, SUMMARY: There is increasing concern that most current published research findings are false. The probability that a research claim is true may depend on study power and bias
Boosting Image Retrieval, We present an approach for image retrieval using a very large number of highly selective features and efficient online learning. Our approach is predicated on the assumption that each image is generated by a sparse set of visual &ldquo;causes&rdquo; and that images which are visually similar share causes. We propose a mechanism for computing a very large number of highly selective features which capture some aspects of this causal structure (in our implementation there are over 45
Digital storytelling: a meaningful technology-integrated approach for engaged student learning, Abstract Although research emphasizes the importance of integrating technology into the curriculum
Genome-wide association studies for common diseases and complex traits, Genetic factors strongly affect susceptibility to common diseases and also influence disease-related quantitative traits. Identifying the relevant genes has been difficult
Chord: a scalable peer-to-peer lookup protocol for internet applications, A fundamental problem that confronts peer-to-peer applications is the efficient location of the node that stores a desired data item. This paper presents  Chord
Fast effective rule induction, Many existing rule learning systems are computationally expensive on large noisy datasets. In this paper we evaluate the recently-proposed rule learning algorithm IREP on a large and diverse collection of benchmark problems. We show that while IREP is extremely efficient
Enterprise Architecture at Work: Modelling,  Communication and Analysis
Radical embodiment: neural dynamics and consciousness., We propose a new approach to the neuroscience of consciousness
The measurement of observer agreement for categorical data, This paper presents a general statistical methodology for the analysis of multivariate categorical data arising from observer reliability studies. The procedure essentially involves the construction of functions of the observed proportions which are directed at the extent to which the observers agree among themselves and the construction of test statistics for hypotheses involving these functions. Tests for interobserver bias are presented in terms of first-order marginal homogeneity and measures of interobserver agreement are developed as generalized kappa-type statistics. These procedures are illustrated with a clinical diagnosis example from the epidemiological literature."
Social Dilemmas: The Anatomy of Cooperation, The study of social dilemmas is the study of the tension between individual and collective rationality. In a social dilemma
Sequencing and de novo analysis of a coral larval transcriptome using 454 GSFlx., BACKGROUND: New methods are needed for genomic-scale analysis of emerging model organisms that exemplify important biological questions but lack fully sequenced genomes. For example
Cd-hit: a fast program for clustering and comparing large sets of protein or nucleotide sequences., MOTIVATION: In 2001 and 2002
Can evolution explain how minds work?, Biologists have tended to assume that closely related species will have similar cognitive abilities. Johan J. Bolhuis and Clive D. L. Wynne put this evolutionarily inspired idea through its paces. Darwin's theory of evolution by natural selection is broadly accepted among biologists
Assembly reconciliation, Motivation: Many genomes are sequenced by a collaboration of several centers
Assembling millions of short DNA sequences using SSAKE, Summary: Novel DNA sequencing technologies with the potential for up to three orders magnitude more sequence throughput than conventional Sanger sequencing are emerging. The instrument now available from Solexa Ltd
Fast Readout of Object Identity from Macaque Inferior Temporal Cortex, Understanding the brain computations leading to object recognition requires quantitative characterization of the information represented in inferior temporal (IT) cortex. We used a biologically plausible
An Algorithm to Determine Peer-Reviewers, The peer-review process is the most widely accepted certification mechanism for officially accepting the written results of researchers within the scientific community. An essential component of peer-review is the identification of competent referees to review a submitted manuscript. This article presents an algorithm to automatically determine the most appropriate reviewers for a manuscript by way of a co-authorship network data structure and a relative-rank particle-swarm algorithm. This approach is novel in that it is not limited to a pre-selected set of referees
SuggestBot: using intelligent task routing to help people find work in wikipedia, Member-maintained communities ask their users to perform tasks the community needs. From Slashdot
How stem cells age and why this makes us grow old, Recent data suggest that we age
Formation of Glasses from Liquids and Biopolymers, Glasses can be formed by many routes. In some cases
Out of Our Minds: Learning to be Creative, {""This really is a remarkable book. It does for human resources what Rachel Carson's Silent Spring did for the environment. It makes you wonder why we insist on sustaining an education system that is narrow
LGA: A method for finding 3D similarities in protein structures., We present the {LGA} {(Local-Global} Alignment) method
Extraction of gene-disease relations from Medline using domain dictionaries and machine learning., We describe a system that extracts disease-gene relations from MedLine. We constructed a dictionary for disease and gene names from six public databases and extracted relation candidates by dictionary matching. Since dictionary matching produces a large number of false positives
A multi-radio unification protocol for IEEE 802.11 wireless networks, We present a link layer protocol called the multi-radio unification protocol or MUP. On a single node
A Maximum Entropy Approach to Natural Language Processing, The concept of maximum entropy can be traced back along multiple threads to Biblical times. Only recently
Low complexity voice recognition in car environment, A low-complexity voice recognition method in a car environment is proposed. Models of noise in the car environment are adaptable in an easy way. Power computation and memory storage for the proposed method are very low. Some real world tests are conducted and show that the proposed voice recognition method has potential for application to car cellular telephones"
Pattern recognition computation using action potential timing for stimulus representation, A computational model is described in which the sizes of variables are represented by the explicit times at which action potentials occur
Statistical Issues in the Analysis of Neuronal Data, Analysis of data from neurophysiological investigations can be challenging. Particularly when experiments involve dynamics of neuronal response
Codon bias and base composition are poor indicators of horizontally transferred genes., Horizontal gene transfer is now recognized as an important mechanism of evolution. {S}everal methods to detect horizontally transferred genes have been suggested. {T}hese methods are based on either nucleotide composition or the failure to find a similar gene in closely related species. {G}enes that evolve vertically between closely related species can be divided into those that retain homologous chromosomal positions (positional orthologs) and those that do not. {B}y comparing open reading frames in the {E}scherichia coli and {S}almonella typhi genomes
Link analysis ranking: algorithms,  theory
Relative power and sample size analysis on gene expression profiling data., BACKGROUND: With the increasing number of expression profiling technologies
The digital divide: the special case of gender, Abstract This paper examines the evidence for the digital divide based on gender. An overview of research published in the last 20 years draws to the conclusion that females are at a disadvantage relative to men when learning about computers or learning other material with the aid of computer-assisted software. The evidence shows that the digital divide affects people of all ages and across international boundaries. We suggest that the digital divide is fundamentally a problem of computer anxiety whose roots are deep in socialization patterns of boys and girls and that interact with the stereotype of computers as toys for boys. A model of the digital divide is presented that examines gender stereotypes
Design Patterns: Abstraction and Reuse of Object-Oriented Design, We propose design patterns as a new mechanism for expressing object-oriented design experience. Design patterns identify
Code: And Other Laws of Cyberspace,  Version 2.0
Chromatin poises miRNA- and protein-coding genes for expression, Chromatin modifications have been implicated in the regulation of gene expression. While association of certain modifications with expressed or silent genes has been established
Large-scale structural analysis of the classical human protein tyrosine phosphatome., Protein tyrosine phosphatases (PTPs) play a critical role in regulating cellular functions by selectively dephosphorylating their substrates. Here we present 22 human PTP crystal structures that
Web Document Clustering: A Feasibility Demonstration, Users of Web search engines are often forced to sift through the long ordered list of document snippets returned by the engines. The IR community has explored document clustering as an alternative method of organizing retrieval results
Estimating mutual information., We present two classes of improved estimators for mutual information $M(X
Space-Time Approach to Non-Relativistic Quantum Mechanics, Non-relativistic quantum mechanics is formulated here in a different way. It is; however; mathematically equivalent to the familiar formulation. In quantum mechanics the probability of an event which can happen in several different ways is the absolute square of a sum of complex contributions; one from each alternative way. The probability that a particle will be found to have a path  x ( t ) lying somewhere within a region of space time is the square of a sum of contributions; one from each path in the region. The contribution from a single path is postulated to be an exponential whose (imaginary) phase is the classical action (in units of 鈩? for the path in question. The total contribution from all paths reaching  x ;  t  from the past is the wave function 蠄( x ;聽 t ). This is shown to satisfy Schroedinger's equation. The relation to matrix and operator algebra is discussed. Applications are indicated; in particular to eliminate the coordinates of the field oscillators from the equations of quantum electrodynamics."
Simultaneous Feature Selection and Clustering Using Mixture Models, Clustering is a common unsupervised learning technique used to discover group structure in a set of data. While there exist many algorithms for clustering
Social networks,  incentives
Haskell on a shared-memory multiprocessor, Multi-core processors are coming
Nutrient control of glucose homeostasis through a complex of PGC-1alpha and SIRT1., Homeostatic mechanisms in mammals respond to hormones and nutrients to maintain blood glucose levels within a narrow range. Caloric restriction causes many changes in glucose metabolism and extends lifespan; however
Whole-proteome prediction of protein function via graph-theoretic analysis of interaction maps, Motivation: Determining protein function is one of the most important problems in the post-genomic era. For the typical proteome
Animal species diversity driven by habitat heterogeneity/diversity: the importance of keystone structures., Abstract Aim In a selected literature survey we reviewed studies on the habitat heterogeneity-animal species diversity relationship and evaluated whether there are uncertainties and biases in its empirical support. Location World-wide. Methods We reviewed 85 publications for the period 1960-2003. We screened each publication for terms that were used to define habitat heterogeneity
The rendering equation, We present an integral equation which generalizes a variety of known rendering algorithms. In the course of discussing a monte carlo solution we also present a new form of variance reduction
We the Media: Grassroots Journalism by the People,  for the People
Physics of laser-driven plasma-based electron accelerators, Laser-driven plasma-based accelerators
Supporting ontological analysis of taxonomic relationships, Taxonomies are an important part of conceptual modeling. They provide substantial structural information
Metabolic stability and epigenesis in randomly constructed genetic nets., Proto-organisms probably were randomly aggregated nets of chemical reactions. The hypothesis that contemporary organisms are also randomly constructed molecular automata is examined by modeling the gene as a binary (on-off) device and studying the behavior of large
A protocol for generating a high-quality genome-scale metabolic reconstruction, Network reconstructions are a common denominator in systems biology. Bottom鈥搖p metabolic network reconstructions have been developed over the last 10 years. These reconstructions represent structured knowledge bases that abstract pertinent information on the biochemical transformations taking place within specific target organisms. The conversion of a reconstruction into a mathematical format facilitates a myriad of computational biological studies
Cost-effective strategies for completing the interactome, Comprehensive protein-interaction mapping projects are underway for many model species and humans. A key step in these projects is estimating the time
Library and information science: Skills for twenty-first century professionals, Purpose 鈥?To review skills needed by library and information science (LIS) professionals in the twenty-first century and suggest a new approach to four key skills. Design/methodology/approach 鈥?Considers the DNA skills approach of Hallam and Partridge and analyses the four skills using examples of innovative developments in library and information services. Findings 鈥?LIS professionals need a range of skills that should be fostered by educators and in the workplace. By promoting these in the wider community
An orientation-dependent hydrogen bonding potential improves prediction of specificity and structure for proteins and protein-protein complexes., Hydrogen bonding is a key contributor to the specificity of intramolecular and intermolecular interactions in biological systems. Here
Survey of Wireless Indoor Positioning Techniques and Systems, Wireless indoor positioning systems have become very popular in recent years. These systems have been successfully used in many applications such as asset tracking and inventory management. This paper provides an overview of the existing wireless indoor positioning solutions and attempts to classify different techniques and systems. Three typical location estimation schemes of triangulation
Smoothed analysis of algorithms: Why the simplex algorithm usually takes polynomial time, We introduce the  smoothed analysis of algorithms
Systematic meta-analyses of Alzheimer disease genetic association studies: the AlzGene database., The past decade has witnessed hundreds of reports declaring or refuting genetic association with putative Alzheimer disease susceptibility genes. This wealth of information has become increasingly difficult to follow
Hotspots of mammalian chromosomal evolution., {BACKGROUND: Chromosomal evolution is thought to occur through a random process of breakage and rearrangement that leads to karyotype differences and disruption of gene order. With the availability of both the human and mouse genomic sequences
A comparative study of survival models for breast cancer prognostication based on microarray data: does a single gene beat them all?, Motivation: Survival prediction of breast cancer (BC) patients independently of treatment
Approaches for identifying targets of positive selection, Despite significant advancements in both empirical and theoretical population genetics throughout the past century
Composition Patterns: An Approach to Designing Reusable Aspects, Requirements such as distribution or tracing have an impact on multiple classes in a system. They are cross-cutting requirements
A Quick Guide to Organizing Computational Biology Projects, The purpose of this article is to describe one good strategy for carrying out computational experiments. I will not describe profound issues such as how to formulate hypotheses
Probabilistic Reasoning in Intelligent Systems: Networks of plausible inference, <p><I>Probabilistic Reasoning in Intelligent Systems</I> is a complete and accessible account of the theoretical foundations and computational methods that underlie plausible reasoning under uncertainty. The author provides a coherent explication of probability as a language for reasoning with partial belief and offers a unifying perspective on other AI approaches to uncertainty
Protein Structure Prediction and Structural Genomics, Genome sequencing projects are producing linear amino acid sequences
Getting to the Root of miRNA-Mediated Gene Silencing,  MicroRNAs are 22 nucleotide-long RNAs that silence gene expression posttranscriptionally by binding to the 3鈥?untranslated regions of target mRNAs. Although much is known about their biogenesis and biological functions
The Google File System, We have designed and implemented the Google File System
SAAM: a method for analyzing the properties of software architectures, While software architecture has become an increasingly important research topic in recent years
Visualizing a discipline: An author co-citation analysis of information science,  1972-1995
Multiagent Systems: a Modern Approach to Distributed Artificial Intelligence, This is the first comprehensive introduction to multiagent systems andcontemporary distributed artificial intelligence that is suitable as atextbook. The book provides detailed coverage of basic topics as well asseveral closely related ones. Unlike traditional textbooks
Improving retrieval performance by relevance feedback, Relevance feedback is an automatic process
Electrostatics and diffusion of molecules in solution: simulations with the University of Houston Brownian Dynamics program, Brownian dynamics simulations are not new
Display time as implicit feedback: understanding task effects, Recent research has had some success using the length of time a user displays a document in their web browser as implicit feedback for document preference. However
DNA methylation landscapes: provocative insights from epigenomics,  The genomes of many animals
Ancient DNA., In the past two decades
On the relation between promoter divergence and gene expression evolution., Recent studies have characterized significant differences in the cis-regulatory sequences of related organisms
From Barbie to Mortal Kombat: Gender and Computer Games, This book explores the complicated issue of gender in computer games颅-particularly the development of video games for girls. One side is the concern that the average computer game
Group awareness in distributed software development, Open-source software development projects are almost always collaborative and distributed. Despite the difficulties imposed by distance
Clustering Aggregation, We consider the following problem: given a set of clusterings
Improved scoring of functional groups from gene expression data by decorrelating GO graph structure, Motivation: The result of a typical microarray experiment is a long list of genes with corresponding expression measurements. This list is only the starting point for a meaningful biological interpretation. Modern methods identify relevant biological processes or functions from gene expression data by scoring the statistical significance of predefined functional gene groups
Gossip-based aggregation in large dynamic networks, As computer networks increase in size
Genome assembly quality: Assessment and improvement using the neutral indel model, We describe a statistical and comparative-genomic approach for quantifying error rates of genome sequence assemblies. The method exploits not substitutions but the pattern of insertions and deletions (indels) in genome-scale alignments for closely related species. Using two- or three-way alignments
Microarray analysis shows that some microRNAs downregulate large numbers of target mRNAs., MicroRNAs (miRNAs) are a class of noncoding RNAs that post-transcriptionally regulate gene expression in plants and animals. To investigate the influence of miRNAs on transcript levels
Publics and Counterpublics, {Most of the people around us belong to our world not directly
Dynamic graph algorithms, Introduction  In many applications of graph algorithms
Recursive SVM feature selection and sample classification for mass-spectrometry and microarray data., BACKGROUND: Like microarray-based investigations
Nucleosome positioning and gene regulation: advances through genomics,  Knowing the precise locations of nucleosomes in a genome is key to understanding how genes are regulated. Recent 'next generation' ChIP鈥揷hip and ChIP鈥揝eq technologies have accelerated our understanding of the basic principles of chromatin organization. Here we discuss what high-resolution genome-wide maps of nucleosome positions have taught us about how nucleosome positioning demarcates promoter regions and transcriptional start sites
Collaborative Filtering by Personality Diagnosis: A Hybrid Memory- and Model-based Approach, The growth of Internet commerce has stimulated the use of collaborative filtering (CF) algorithms as recommender systems. Such systems leverage knowledge about the known preferences of multiple users to recommend items of interest to other users. CF methods have been harnessed to make recommendations about such items as web pages
Direct observation of kinesin stepping by optical trapping interferometry, Do biological motors move with regular steps? To address this question
The Physical Implementation of Quantum Computation, Abstract 10.1002/1521-3978(200009)48:9/11<771::AID-PROP771>3.3.CO;2-5 After a brief introduction to the principles and promise of quantum information processing
Mining microarray expression data by literature profiling, BACKGROUND: The rapidly expanding fields of genomics and proteomics have prompted the development of computational methods for managing
Exploring social annotations for web document classification, Social annotation via so-called collaborative  tagging  describes the process by which many users add metadata in the form of unstructured keywords to shared content. In this paper
The ontology of biological taxa, Motivation: The classification of biological entities in terms of species and taxa is an important endeavor in biology. Although a large amount of statements encoded in current biomedical ontologies is taxon-dependent there is no obvious or standard way for introducing taxon information into an integrative ontology architecture
Larrabee: a many-core x86 architecture for visual computing, This paper presents a many-core visual computing architecture code named Larrabee
